experiment,role,scenario,status,validation_passed,objective_krw,mip_gap,runtime_seconds,wall_seconds,open_dcs,open_facilities,fixed_krw,handling_krw,inbound_krw,transport_normal_krw,transport_premium_krw,penalty_krw,total_krw,demand_units,fulfilled_units,unmet_units,fulfillment_rate,total_trips,total_distance_km,periods,modeled_days,reference_experiment,reused_from,input_sha256,scenario_file,result_file,message
growth_myopic_design,single_year_design,Year-1 optimized design,optimal,True,628288560.5568479,0.0,0.395303,0.398976,4,DC02|DC03|DC05|DC10,80000000.0,1616250.0,64650000.0,364365852.21876043,79056458.3380875,38600000.0,628288560.5568479,32518.0,32325.0,193.0,0.994064825635033,564.0,14093.629934328823,1,1.0,,,5f22d39f05ae65a4c6793679557d66666b1aa5e68583055d75a2708fcf09b2b9,growth_myopic_design.scenario.json,growth_myopic_design.result.json,선택한 후보와 수리모형에서 최적해를 찾았습니다.
growth_myopic_evaluation,fixed_design_3year_evaluation,"Year-1 optimized design: fixed DCs, 3-year evaluation",optimal,True,810430804291.2073,0.0,1.47167,1.48262,4,DC02|DC03|DC05|DC10,87600000000.0,2147714750.0,85908590000.0,481932688984.36914,101960810556.83815,50881000000.0,810430804291.2073,43208700.0,42954295.0,254405.0,0.9941121811116743,730730.0,18405977.07816673,3,1095.0,growth_myopic_design,,60d4dcc8e2c813e4d83754fffc2b39748699a2865b3bb0cef112803222055400,growth_myopic_evaluation.scenario.json,growth_myopic_evaluation.result.json,선택한 후보와 수리모형에서 최적해를 찾았습니다.
growth_peak_design,single_year_design,Year-3 optimized design,optimal,True,850392789.6050977,0.0,0.559465,0.563758,5,DC02|DC03|DC05|DC09|DC10,100000000.0,2333050.0,93322000.0,511503963.29439527,108233776.31070243,35000000.0,850392789.6050977,46836.0,46661.0,175.0,0.9962635579468785,786.0,18643.458411907628,1,1.0,,,eb365541f4af907cfe0fd70b4ca159e6bcfe3d2890c18b74bb8b00a13b272823,growth_peak_design.scenario.json,growth_peak_design.result.json,선택한 후보와 수리모형에서 최적해를 찾았습니다.
growth_peak_evaluation,fixed_design_3year_evaluation,"Year-3 optimized design: fixed DCs, 3-year evaluation",optimal,True,805635003933.0555,0.0,1.266042,1.278965,5,DC02|DC03|DC05|DC09|DC10,109500000000.0,2152259000.0,86090360000.0,473108020086.4516,102080364846.60405,32704000000.0,805635003933.0557,43208700.0,43045180.0,163520.0,0.9962155769555668,733285.0,17372767.499269918,3,1095.0,growth_peak_design,,b60f1746f0ef29d5d904785d45c754049cd37c51ea5401c8991cf5ad6689964e,growth_peak_evaluation.scenario.json,growth_peak_evaluation.result.json,선택한 후보와 수리모형에서 최적해를 찾았습니다.
growth_integrated,integrated_3year_design_and_evaluation,Shared opening: 3-year integrated optimization,optimal,True,805635003933.0555,0.0,1.206177,1.214935,5,DC02|DC03|DC05|DC09|DC10,109500000000.0,2152259000.0,86090360000.0,473108020086.4516,102080364846.60405,32704000000.0,805635003933.0557,43208700.0,43045180.0,163520.0,0.9962155769555668,733285.0,17372767.499269918,3,1095.0,,,be4e2f90a420bb4969824bacab323fae9a7744f603e9966380505b4fb54ee6d6,growth_integrated.scenario.json,growth_integrated.result.json,선택한 후보와 수리모형에서 최적해를 찾았습니다.
