experiment,role,scenario,status,validation_passed,objective_krw,mip_gap,runtime_seconds,wall_seconds,open_dcs,open_facilities,fixed_krw,handling_krw,inbound_krw,transport_normal_krw,transport_premium_krw,penalty_krw,total_krw,demand_units,fulfilled_units,unmet_units,fulfillment_rate,total_trips,total_distance_km,periods,modeled_days,reference_experiment,reused_from,input_sha256,scenario_file,result_file,message
growth_myopic_design,single_year_design,Year-1 optimized design,feasible_limit,True,644294077.7863483,0.0236722109643836,30.119355,30.121709,6,DC01|DC02|DC05|DC08|DC09|DC10,120000000.0,1619900.0,64796000.0,353012328.3537466,80865849.43260169,24000000.0,644294077.7863483,32518.0,32398.0,120.0,0.9963097361461345,566.0,12193.62569358214,1,1.0,,,4474c77173d43cfaccea5458ab6d91e79d5dd7627e3c54eb2331605400ee32e6,growth_myopic_design.scenario.json,growth_myopic_design.result.json,제한 시간에 도달했습니다. 독립 검산을 통과한 실행 가능해이며 최적성은 미증명입니다.
growth_myopic_evaluation,fixed_design_3year_evaluation,"Year-1 optimized design: fixed DCs, 3-year evaluation",feasible_limit,True,905617101388.2479,0.004604880467814567,60.44273839995731,60.44273839995731,6,DC01|DC02|DC05|DC08|DC09|DC10,131400000000.0,2123205000.0,84928200000.0,436867540511.50757,101378155876.7403,148920000000.0,905617101388.248,43208700.0,42464100.0,744600.0,0.9827673593512417,689850.0,15604186.243831914,3,1095.0,growth_myopic_design,,d2c0fb3d0fad48e5ec88f7b2f117f034b439326d6a56237a8fa73a683a4c0e19,growth_myopic_evaluation.scenario.json,growth_myopic_evaluation.result.json,개설 고정 후 연도별 독립 MILP와 기존 실행가능해를 조합한 최선 평가. gap은 유효 하한으로 재계산.
growth_peak_design,single_year_design,Year-3 optimized design,feasible_limit,True,867087570.974252,0.006856717882970153,30.111913,30.11588,8,DC01|DC02|DC04|DC05|DC06|DC08|DC09|DC10,160000000.0,2333200.0,93328000.0,475047455.82375187,101978915.15050016,34400000.0,867087570.974252,46836.0,46664.0,172.0,0.9963276112392176,787.0,14135.706911294083,1,1.0,,,8cbf0da582636d574fc881395d1bc92c67c7bfb4d4194d6c59757440e57ebb30,growth_peak_design.scenario.json,growth_peak_design.result.json,제한 시간에 도달했습니다. 독립 검산을 통과한 실행 가능해이며 최적성은 미증명입니다.
growth_peak_evaluation,fixed_design_3year_evaluation,"Year-3 optimized design: fixed DCs, 3-year evaluation",feasible_limit,True,828569461357.2456,0.00262254090925732,60.62559810001403,60.62559810001403,8,DC01|DC02|DC04|DC05|DC06|DC08|DC09|DC10,175200000000.0,2152386750.0,86095470000.0,437755943162.6552,95172661444.5904,32193000000.0,828569461357.2456,43208700.0,43047735.0,160965.0,0.996274708565636,733650.0,12946783.26982767,3,1095.0,growth_peak_design,,5a1d0116af7358e5442839229b90c72f1105f41c8f7bb39aff008f929a1ffe34,growth_peak_evaluation.scenario.json,growth_peak_evaluation.result.json,개설 고정 후 연도별 독립 MILP와 기존 실행가능해를 조합한 최선 평가. gap은 유효 하한으로 재계산.
growth_integrated,integrated_3year_design_and_evaluation,Shared opening: 3-year integrated optimization,feasible_limit,True,826297392530.6472,0.01233846702755216,30.278344,30.284439,7,DC01|DC02|DC03|DC04|DC05|DC09|DC10,153300000000.0,2152514500.0,86100580000.0,454076174321.7883,98986123708.8588,31682000000.0,826297392530.6472,43208700.0,43050290.0,158410.0,0.9963338401757054,734380.0,14948007.221278675,3,1095.0,,,ec1f6c5d50cff92fc5db1064f44268b56e98aa77d3a58c309df64ca23c23de3f,growth_integrated.scenario.json,growth_integrated.result.json,제한 시간에 도달했습니다. 독립 검산을 통과한 실행 가능해이며 최적성은 미증명입니다.
